Personne A,M,23,L3,16.83,BASKET
Personne B,F,24,M2,13.7,AUCUNE
Personne C,M,23,L2,18.80,FOOT-CID
Personne D,F,23,M2,11.16,CID
Personne E,F,23,M2,15.12,AUCUNE
Personne F,M,24,L2,15.7,CID-FOOT
Personne G,M,24,L3,12.50,FOOT-CID-BASKET
Personne H,F,21,L1,14.26,FOOT-CID-BASKET
Personne I,F,16,L2,14.59,FOOT-BASKET-CID
Personne J,F,17,L2,18.81,AUCUNE
Personne K,M,18,M1,11.17,AUCUNE
Personne L,M,19,M1,16.5,AUCUNE
Personne M,F,20,M1,13.41,AUCUNE
Personne N,M,20,M2,13.71,FOOT
Personne O,F,17,L2,10.10,FOOT-CID-BASKET
Personne P,F,22,M2,11.75,AUCUNE
Personne Q,M,20,M1,13.41,AUCUNE
Personne R,M,24,L2,12.57,FOOT
Personne S,F,16,L2,12.26,BASKET
Personne T,M,19,L1,13.24,CID-FOOT
Personne U,F,24,M1,19.76,FOOT-CID-BASKET
Personne V,M,22,L3,17.7,BASKET-CID
Personne W,F,21,M2,12.53,FOOT
Personne X,M,23,M2,11.91,BASKET-FOOT-CID
Personne Y,M,23,M1,18.8,CID
Personne Z,F,21,M1,10.89,CID
Personne a,M,19,M2,11.19,BASKET
Personne b,M,17,L1,12.79,BASKET
Personne c,M,22,L2,13.22,CID
Personne d,M,18,L1,13.22,BASKET-CID
Personne e,F,20,L3,15.25,AUCUNE
Personne f,F,21,L1,10.70,CID-FOOT
Personne g,F,16,L3,11.30,CID
Personne h,M,19,L2,13.8,AUCUNE
Personne i,F,19,L3,19.8,CID
Personne j,F,20,L1,12.22,CID-BASKET
Personne k,M,21,L2,13.88,BASKET
Personne l,F,21,M1,14.65,FOOT-CID-BASKET
Personne m,F,22,M2,11.24,AUCUNE
Personne n,M,18,L2,19.20,FOOT
Personne o,F,24,M1,16.9,FOOT
Personne p,M,18,L1,11.87,BASKET
Personne q,M,22,L2,15.90,CID-FOOT
Personne r,F,16,M2,16.13,CID
Personne s,F,16,M1,11.73,BASKET-FOOT-CID
Personne t,F,19,L3,13.51,AUCUNE
Personne u,F,24,L1,12.67,CID-FOOT-BASKET
Personne v,M,17,M1,16.5,CID
Personne w,F,24,M2,17.11,AUCUNE
Personne x,F,19,L1,16.6,BASKET
Personne y,M,23,M1,18.30,CID
Personne z,M,24,M2,12.66,FOOT-CID
Personne 0,M,19,M2,18.50,CID-FOOT
Personne 1,M,17,L2,17.70,AUCUNE
Personne 2,F,23,M1,14.50,CID-FOOT-BASKET
Personne 3,F,22,L3,16.38,CID-BASKET
Personne 4,M,22,L3,13.50,FOOT-CID
Personne 5,M,19,M1,19.61,FOOT-CID-BASKET
Personne 6,M,18,L3,18.32,AUCUNE
Personne 7,M,21,L2,10.14,BASKET-CID
Personne 8,F,16,L2,17.24,AUCUNE
Personne 9,M,17,M1,14.10,BASKET
