Personne A,M,16,L3,18.88,AUCUNE
Personne B,F,23,L1,13.85,FOOT-BASKET-CID
Personne C,F,20,M2,15.4,AUCUNE
Personne D,M,23,L1,19.33,BASKET
Personne E,F,20,M1,11.89,CID
Personne F,F,24,L3,13.20,FOOT-CID
Personne G,M,19,M2,17.95,CID
Personne H,M,23,L2,14.36,FOOT
Personne I,F,21,L1,10.21,BASKET-CID
Personne J,M,20,L2,19.44,CID
Personne K,F,24,L3,12.55,AUCUNE
Personne L,F,22,L3,15.59,FOOT-CID
Personne M,M,23,M2,13.29,AUCUNE
Personne N,F,22,M1,19.31,FOOT-CID
Personne O,M,19,L2,19.22,FOOT-CID-BASKET
Personne P,F,19,L3,17.15,AUCUNE
Personne Q,F,23,M1,11.11,AUCUNE
Personne R,M,20,L2,12.72,AUCUNE
Personne S,M,21,L1,19.17,AUCUNE
Personne T,F,19,M2,13.47,CID-BASKET
Personne U,M,23,L2,18.94,AUCUNE
Personne V,F,21,M2,12.82,BASKET
Personne W,M,16,M2,17.86,CID
Personne X,F,21,L3,17.2,AUCUNE
Personne Y,F,20,L3,16.57,FOOT-BASKET-CID
Personne Z,F,22,L3,19.13,AUCUNE
Personne a,M,22,L1,11.5,FOOT
Personne b,F,17,M2,13.5,CID-FOOT-BASKET
Personne c,M,22,M2,18.29,FOOT-BASKET-CID
Personne d,M,17,L3,14.60,BASKET-FOOT
Personne e,M,18,M1,18.35,AUCUNE
Personne f,F,19,M1,19.7,FOOT-BASKET
Personne g,M,20,M2,14.20,AUCUNE
Personne h,F,17,L1,17.44,FOOT
Personne i,F,17,M1,11.54,FOOT
Personne j,F,16,L1,19.41,AUCUNE
Personne k,M,18,L1,11.4,BASKET
Personne l,M,24,L3,12.92,CID-BASKET
Personne m,M,21,L2,18.33,AUCUNE
Personne n,M,20,L2,14.1,CID-BASKET-FOOT
Personne o,M,19,L1,16.22,AUCUNE
Personne p,M,20,L3,12.2,BASKET
Personne q,F,23,L3,14.55,BASKET-CID
Personne r,M,19,L3,12.25,CID
Personne s,M,19,L1,19.20,FOOT
Personne t,M,17,L1,15.64,AUCUNE
Personne u,F,18,L3,15.25,CID-FOOT-BASKET
Personne v,F,20,L3,14.19,CID
Personne w,F,20,L3,13.66,BASKET
Personne x,M,22,M1,19.91,AUCUNE
Personne y,F,18,M1,11.30,CID-BASKET
Personne z,F,19,M2,19.55,AUCUNE
Personne 0,M,19,L2,15.44,CID
Personne 1,M,24,L2,18.57,FOOT-CID-BASKET
Personne 2,M,21,L2,17.95,BASKET-CID-FOOT
Personne 3,M,22,L3,14.50,CID-BASKET
Personne 4,M,22,M2,14.28,FOOT-CID-BASKET
Personne 5,M,19,L3,17.10,BASKET
Personne 6,M,16,L1,15.63,AUCUNE
Personne 7,M,18,M1,15.82,CID
Personne 8,F,17,M2,14.0,CID
Personne 9,F,17,M1,13.19,BASKET-FOOT-CID
