Personne A,F,22,L1,10.83,FOOT-CID
Personne B,M,19,L3,11.40,FOOT-BASKET
Personne C,F,21,L2,12.40,FOOT-CID-BASKET
Personne D,M,22,M1,13.77,FOOT
Personne E,M,24,L2,11.97,BASKET-CID
Personne F,M,18,L2,10.87,FOOT
Personne G,F,16,L2,10.68,BASKET-CID-FOOT
Personne H,M,20,L3,12.25,CID
Personne I,F,20,L1,14.2,BASKET-CID-FOOT
Personne J,F,18,L1,11.70,CID
Personne K,F,20,L1,13.14,BASKET-FOOT-CID
Personne L,M,24,L2,12.78,CID-FOOT
Personne M,F,18,L2,19.3,AUCUNE
Personne N,F,22,M2,13.5,AUCUNE
Personne O,F,18,M2,15.94,CID-BASKET-FOOT
Personne P,M,18,M1,15.73,CID
Personne Q,F,21,M1,12.62,FOOT-BASKET
Personne R,M,20,M2,12.22,BASKET-FOOT
Personne S,F,24,M2,18.96,BASKET-FOOT
Personne T,F,21,L3,18.88,CID-BASKET-FOOT
Personne U,F,17,L2,14.70,BASKET-FOOT-CID
Personne V,M,23,M2,13.2,FOOT-CID-BASKET
Personne W,M,17,L3,16.77,AUCUNE
Personne X,F,18,M2,19.33,FOOT
Personne Y,M,24,L1,15.47,BASKET-CID
Personne Z,F,24,M2,11.18,AUCUNE
Personne a,F,24,L3,15.92,FOOT-CID
Personne b,F,23,L3,13.91,CID-FOOT-BASKET
Personne c,M,17,L3,16.33,BASKET
Personne d,F,23,L3,19.62,FOOT-BASKET-CID
Personne e,M,20,L2,14.64,FOOT-CID-BASKET
Personne f,M,18,M1,13.32,AUCUNE
Personne g,M,21,M2,15.74,FOOT-BASKET-CID
Personne h,M,16,M1,13.47,FOOT-BASKET
Personne i,M,23,M1,11.33,CID-FOOT-BASKET
Personne j,F,24,L2,16.59,BASKET-CID
Personne k,M,17,M2,16.77,FOOT-CID-BASKET
Personne l,F,19,M1,15.43,BASKET-CID-FOOT
Personne m,F,20,L1,10.91,AUCUNE
Personne n,M,21,L1,17.93,AUCUNE
Personne o,F,18,M1,14.20,BASKET-CID
Personne p,F,18,M1,18.69,BASKET-FOOT-CID
Personne q,M,17,M2,13.60,FOOT-CID-BASKET
Personne r,M,16,M2,12.75,CID
Personne s,M,18,L1,14.3,FOOT-BASKET-CID
Personne t,F,18,M2,16.47,FOOT-BASKET-CID
Personne u,F,18,L2,15.82,BASKET-CID-FOOT
Personne v,F,18,L3,19.6,BASKET
Personne w,F,18,L3,13.78,AUCUNE
Personne x,M,18,M1,10.65,BASKET-CID
Personne y,F,23,L3,19.95,FOOT-CID-BASKET
Personne z,M,17,L3,19.69,AUCUNE
Personne 0,M,17,L2,15.54,BASKET-FOOT
Personne 1,F,19,L1,14.56,AUCUNE
Personne 2,M,23,L2,19.9,AUCUNE
Personne 3,F,24,L1,16.36,CID-BASKET
Personne 4,M,23,M2,16.69,AUCUNE
Personne 5,M,21,L1,11.42,CID
Personne 6,F,24,M2,13.41,AUCUNE
Personne 7,M,16,M1,10.21,FOOT-CID-BASKET
Personne 8,M,18,M1,12.65,CID-BASKET-FOOT
Personne 9,F,23,M1,10.98,CID-BASKET-FOOT
