Personne A,M,19,L1,13.79,CID
Personne B,M,23,L1,15.62,CID-FOOT
Personne C,M,21,M1,10.66,BASKET-FOOT-CID
Personne D,F,16,L3,12.67,CID
Personne E,M,24,L1,12.94,CID
Personne F,F,18,L2,11.0,FOOT-CID
Personne G,F,18,M1,13.31,BASKET-FOOT-CID
Personne H,F,20,L1,12.23,CID-FOOT
Personne I,M,21,L3,10.89,BASKET-CID-FOOT
Personne J,M,24,M1,10.43,AUCUNE
Personne K,F,17,L3,10.74,BASKET-CID-FOOT
Personne L,F,18,L2,17.80,AUCUNE
Personne M,F,21,L2,19.78,AUCUNE
Personne N,M,22,M1,15.63,CID-FOOT
Personne O,F,16,M2,12.23,FOOT-BASKET
Personne P,F,17,L2,14.39,FOOT-CID-BASKET
Personne Q,F,18,L2,12.52,FOOT-CID-BASKET
Personne R,M,16,L3,13.69,FOOT-CID-BASKET
Personne S,F,19,L3,14.23,BASKET-CID-FOOT
Personne T,F,21,L3,10.79,FOOT-CID-BASKET
Personne U,F,20,L3,12.27,BASKET
Personne V,F,20,L2,18.7,FOOT
Personne W,F,20,M2,15.69,AUCUNE
Personne X,M,24,L2,13.86,AUCUNE
Personne Y,F,20,M1,16.96,FOOT
Personne Z,F,21,M2,12.91,AUCUNE
Personne a,M,19,M2,17.49,CID-BASKET-FOOT
Personne b,F,24,L2,12.45,FOOT
Personne c,M,17,L1,17.31,FOOT
Personne d,M,24,M2,18.41,CID-FOOT-BASKET
Personne e,M,23,L3,13.0,BASKET-CID
Personne f,F,19,M2,11.47,BASKET
Personne g,F,22,L3,10.4,BASKET-FOOT-CID
Personne h,F,20,M1,14.82,CID
Personne i,F,17,L2,15.13,AUCUNE
Personne j,F,16,M1,14.73,AUCUNE
Personne k,F,18,M1,13.13,CID-FOOT
Personne l,F,16,L3,12.55,AUCUNE
Personne m,M,24,L3,17.86,BASKET-CID
Personne n,M,20,L3,14.32,FOOT
Personne o,F,19,M2,10.75,AUCUNE
Personne p,F,16,L2,16.46,FOOT-CID-BASKET
Personne q,F,21,L3,17.48,BASKET-FOOT-CID
Personne r,F,16,L3,16.60,CID
Personne s,M,19,M2,13.76,BASKET-FOOT-CID
Personne t,M,16,M1,16.69,FOOT-BASKET-CID
Personne u,F,20,M1,18.96,CID-BASKET-FOOT
Personne v,F,19,L1,13.39,CID
Personne w,M,17,L3,15.48,AUCUNE
Personne x,F,22,L3,14.51,FOOT-CID
Personne y,F,23,L2,13.10,BASKET-FOOT
Personne z,M,22,L1,11.23,FOOT-BASKET
Personne 0,M,18,L2,14.68,BASKET-CID-FOOT
Personne 1,M,21,L1,17.85,AUCUNE
Personne 2,M,21,M1,11.0,FOOT-BASKET
Personne 3,F,23,M1,14.21,FOOT-CID-BASKET
Personne 4,F,24,L1,16.94,FOOT
Personne 5,F,18,L1,15.15,AUCUNE
Personne 6,F,21,L1,19.12,BASKET-FOOT-CID
Personne 7,F,17,M1,13.60,CID-BASKET-FOOT
Personne 8,F,16,M2,12.14,AUCUNE
Personne 9,M,23,M2,10.82,AUCUNE
